정류소명,정류소아이디,상_하행
청라센텀로제비앙,168001296,하행
레이크블루,168001335,하행
남광하우스토리,168000920,하행
청라센트럴에일린의뜰106동,168000892,하행
청라센트럴에일린의뜰,168000834,하행
홈플러스,168001225,하행
롯데캐슬,168000835,하행
롯데캐슬,168000999,하행
동양엔파트,168000820,하행
한일베라체,168000865,하행
호수공원음악분수,168001028,하행
청라동문굿모닝힐,168001017,하행
청라파크자이상가,168001299,하행
한라시멘트,161000291,하행
미송초등학교,164000656,하행
e편한세상 정문,164000626,하행
랜드마크시티센트럴더샵(106동),164000668,하행
송도sk뷰,164000710,하행
송도달빛축제공원역,164000699,하행
국제업무지구역,164000528,하행
센트럴파크역,164000574,하행
지식정보단지역,164000404,하행
캠퍼스타운역,164000420,하행
동춘동종점,164000037,하행
마전지구버스차고지,168001259,상행
1차풍림아이원,168000642,상행
마전지구1,168000643,상행
풍림2차,168000485,상행
마전지구대원아파트,168000481,상행
마전고등학교,168000753,상행
대주파크빌,168000466,상행
검단동행정복지센터(검단고교),168000445,상행
검단농협,168000434,상행
검단출장소,168000423,상행
완정초등학교.검단도서관,168000414,상행
마전역,168000412,상행
마전초등학교,168000408,상행
동아아파트,168000404,상행
완정사거리,168000561,상행
완정역,168000674,상행
당하동탑스빌아파트,168000639,상행
엘리지안타운,168000394,상행
백석고가(하이마트),168000381,상행
독정역(서구동구예비군훈련장),168000377,상행
백석중.고등학교,168000375,상행
한들마을입구(유아교육진흥원),168000370,상행
서구국민체육센터,168000776,상행
검암중학교,168000362,상행
풍림3차아파트,168000366,상행
풍림1차아파트,168000969,상행
검암역.서해그랑블아파트,168000360,상행
검암사거리,168000358,상행
서해아파트,168000355,상행
검암경서동행정복지센터,168000353,상행
삼보아파트,168000351,상행
간재울초등학교,168000347,상행
서곶지구대,168000338,상행
빈정내사거리,168000329,상행
중앙아파트,168000315,상행
서인천세무서,168000307,상행
태영아파트,168000298,상행
서구보건소,168000283,상행
KT서인천지사,168000933,상행
심곡동광명아파트,168001153,상행
웰카운티17단지,168001183,상행
청라고등학교,168000785,상행
호반베르디움214동앞,168000998,상행
호반베르디움,168000855,상행
메이루즈커낼파크뷰,168000747,상행
호반베르디움14단지,168000880,상행
제일풍경채2차331동앞,168000989,상행
대우푸르지오,168000842,상행
레이크파크,168000840,상행
중앙호수공원입구(호반베르디움),168001245,상행
청라호반베르디움.포리공원,168000919,상행
청라호수공원(남측),168000863,상행
청라복합문화센터,168001218,상행
SK뷰아파트,168000888,상행
청라힐스테이트,168000987,상행
반도유보라,168000904,상행
복합환승센터,168001044,상행
로봇랜드입구,168001022,하행
반도유보라,168000905,하행
청라힐스테이트,168000988,하행
SK뷰아파트,168000889,하행
청라복합문화센터,168001219,하행
청라호수공원(남측),168000861,하행
청라호반베르디움.포리공원,168000899,하행
한일베라체,168000839,하행
남광하우스토리,168000841,하행
청라센트럴에일린의뜰104동,168000990,하행
린스트라우스,168000881,하행
메이루즈커낼파크뷰,168000762,하행
중흥S클래스2차,168000856,하행
청라웰카운티223동,168000997,하행
청라고등학교,168000784,하행
웰카운티17단지,168001182,하행
심곡동광명아파트,168001154,하행
KT서인천지사,168000932,하행
서구보건소,168000285,하행
태영아파트,168000300,하행
서인천세무서,168000310,하행
빈정내사거리,168000327,하행
서곶지구대,168000339,하행
서인천고등학교,168000346,하행
삼보아파트,168000350,하행
검암경서동행정복지센터,168000352,하행
서해아파트,168000354,하행
검암초등학교,168000361,하행
검암역입구(시천교밑),168001250,하행
풍림1차아파트,168000970,하행
은지초등학교사거리,168000365,하행
검암중학교,168000359,하행
검암역입구,168000851,하행
한들마을입구(유아교육진흥원),168000371,하행
백석중.고등학교,168000374,하행
